director,genre,metascore,runtime,strarring,summary,title,url,userscore,year
,,,,,"<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_545726""><span class=""blurb blurb_collapsed"">Director Raoul Peck envisions the book James Baldwin never finished - a radical narration about race in America, using the writer’s original words. He draws upon James Baldwin’s notes on the lives and assassinations of Medgar Evers, Malcolm X, and Martin Luther King Jr to explore and bring a fresh and radical perspective to the current</span><span class=""blurb blurb_expanded"">Director Raoul Peck envisions the book James Baldwin never finished - a radical narration about race in America, using the writer’s original words. He draws upon James Baldwin’s notes on the lives and assassinations of Medgar Evers, Malcolm X, and Martin Luther King Jr to explore and bring a fresh and radical perspective to the current racial narrative in America. [Magnolia Pictures]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>I Am Not Your Negro</h1>,,,"<span class=""release_year lighter"">2016</span>"
,,,,"<a href=""/person/audrey-hepburn"">Audrey Hepburn</a>,<a href=""/person/gladys-cooper"">Gladys Cooper</a>,<a href=""/person/isobel-elsom"">Isobel Elsom</a>,<a href=""/person/jeremy-brett"">Jeremy Brett</a>,<a href=""/person/john-holland"">John Holland</a>,<a href=""/person/mona-washbourne"">Mona Washbourne</a>,<a href=""/person/rex-harrison"">Rex Harrison</a>,<a href=""/person/stanley-holloway"">Stanley Holloway</a>,<a href=""/person/theodore-bikel"">Theodore Bikel</a>,<a href=""/person/wilfrid-hyde-white"">Wilfrid Hyde-White</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.</span>
                                </span>
                            </div>",<h1>My Fair Lady</h1>,,,"<span class=""release_year lighter"">1964</span>"
,,,,"<a href=""/person/arthur-oconnell"">Arthur O'Connell</a>,<a href=""/person/ben-gazzara"">Ben Gazzara</a>,<a href=""/person/eve-arden"">Eve Arden</a>,<a href=""/person/george-c-scott"">George C. Scott</a>,<a href=""/person/james-stewart"">James Stewart</a>,<a href=""/person/kathryn-grant"">Kathryn Grant</a>,<a href=""/person/lee-remick"">Lee Remick</a>,<a href=""/person/murray-hamilton"">Murray Hamilton</a>,<a href=""/person/orson-bean"">Orson Bean</a>,<a href=""/person/russ-brown"">Russ Brown</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?</span>
                                </span>
                            </div>",<h1>Anatomy of a Murder</h1>,,,"<span class=""release_year lighter"">1959</span>"
,,,,"<a href=""/person/barbara-stanwyck"">Barbara Stanwyck</a>,<a href=""/person/byron-barr"">Byron Barr</a>,<a href=""/person/edward-g-robinson"">Edward G. Robinson</a>,<a href=""/person/fortunio-bonanova"">Fortunio Bonanova</a>,<a href=""/person/fred-macmurray"">Fred MacMurray</a>,<a href=""/person/jean-heather"">Jean Heather</a>,<a href=""/person/john-philliber"">John Philliber</a>,<a href=""/person/porter-hall"">Porter Hall</a>,<a href=""/person/richard-gaines"">Richard Gaines</a>,<a href=""/person/tom-powers"">Tom Powers</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.</span>
                                </span>
                            </div>",<h1>Double Indemnity</h1>,,,"<span class=""release_year lighter"">1944</span>"
,,,,"<a href=""/person/chris-pratt"">Chris Pratt</a>,<a href=""/person/dgar-ramirez"">Édgar Ramírez</a>,<a href=""/person/jason-clarke"">Jason Clarke</a>,<a href=""/person/jennifer-ehle"">Jennifer Ehle</a>,<a href=""/person/jessica-chastain"">Jessica Chastain</a>,<a href=""/person/joel-edgerton"">Joel Edgerton</a>,<a href=""/person/mark-strong"">Mark Strong</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>For a decade, an elite team of intelligence and military operatives, working in secret across the globe, devoted themselves to a single goal: to find and eliminate Osama bin Laden. [Columbia Pictures]</span>
                                </span>
                            </div>",<h1>Zero Dark Thirty</h1>,,,"<span class=""release_year lighter"">2012</span>"
,,,,"<a href=""/person/andrew-garfield"">Andrew Garfield</a>,<a href=""/person/jesse-eisenberg"">Jesse Eisenberg</a>,<a href=""/person/justin-timberlake"">Justin Timberlake</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_538609""><span class=""blurb blurb_collapsed"">On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg (Jesse Eisenberg) sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room soon becomes a global social network and a revolution in communication. A mere six years and 500</span><span class=""blurb blurb_expanded"">On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg (Jesse Eisenberg) sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications. [Columbia Pictures]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>The Social Network</h1>,,,"<span class=""release_year lighter"">2010</span>"
,,,,,"<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_500052""><span class=""blurb blurb_collapsed"">Killer of Sheep examines the black Los Angeles ghetto of Watts in the mid-1970s through the eyes of Stan, a sensitive dreamer who is growing detached and numb from the psychic toll of working at a slaughterhouse. The film offers no solutions; it merely presents life -- sometimes hauntingly bleak, sometimes filled with transcendent joy and</span><span class=""blurb blurb_expanded"">Killer of Sheep examines the black Los Angeles ghetto of Watts in the mid-1970s through the eyes of Stan, a sensitive dreamer who is growing detached and numb from the psychic toll of working at a slaughterhouse. The film offers no solutions; it merely presents life -- sometimes hauntingly bleak, sometimes filled with transcendent joy and gentle humor.  (Milestone Film &amp; Video)</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Killer of Sheep</h1>,,,"<span class=""release_year lighter"">2007</span>"
,,,,"<a href=""/person/tim-allen"">Tim Allen</a>,<a href=""/person/tom-hanks"">Tom Hanks</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences. [Pixar]</span>
                                </span>
                            </div>",<h1>Toy Story</h1>,,,"<span class=""release_year lighter"">1995</span>"
,,,,"<a href=""/person/cate-blanchett"">Cate Blanchett</a>,<a href=""/person/cory-michael-smith"">Cory Michael Smith</a>,<a href=""/person/jake-lacy"">Jake Lacy</a>,<a href=""/person/john-magaro"">John Magaro</a>,<a href=""/person/kyle-chandler"">Kyle Chandler</a>,<a href=""/person/rooney-mara"">Rooney Mara</a>,<a href=""/person/sarah-paulson"">Sarah Paulson</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_542203""><span class=""blurb blurb_collapsed"">Set in 1950s New York, two women from very different backgrounds find themselves in the throes of love. A young woman in her 20s, Therese Belivet (Rooney Mara), is a clerk working in a Manhattan department store and dreaming of a more fulfilling life when she meets Carol (Cate Blanchett), an alluring woman trapped in a loveless, convenient</span><span class=""blurb blurb_expanded"">Set in 1950s New York, two women from very different backgrounds find themselves in the throes of love. A young woman in her 20s, Therese Belivet (Rooney Mara), is a clerk working in a Manhattan department store and dreaming of a more fulfilling life when she meets Carol (Cate Blanchett), an alluring woman trapped in a loveless, convenient marriage. As an immediate connection sparks between them, the innocence of their first encounter dims and their connection deepens. While Carol breaks free from the confines of marriage, her husband (Kyle Chandler) threatens her competence as a mother when Carol’s involvement with Therese and close relationship with her best friend Abby (Sarah Paulson) comes to light. As Carol leaves the comfort of home to travel with Therese, an internal journey of self-discovery coincides with her new sense of space. [TWC]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Carol</h1>,,,"<span class=""release_year lighter"">2015</span>"
,,,,"<a href=""/person/paige-ohara"">Paige O'Hara</a>,<a href=""/person/robby-benson"">Robby Benson</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_545835""><span class=""blurb blurb_collapsed"">This 'tale as old as time' follows the adventures of Belle, a bright young woman who finds herself imprisoned in a castle of a mysterious beast. With the assistance of the castle's enchanted staff, a delightful and tender romance develops between these two unlikely friends and Belle soon learns the most important lesson of all - that true</span><span class=""blurb blurb_expanded"">This 'tale as old as time' follows the adventures of Belle, a bright young woman who finds herself imprisoned in a castle of a mysterious beast. With the assistance of the castle's enchanted staff, a delightful and tender romance develops between these two unlikely friends and Belle soon learns the most important lesson of all - that true beauty comes from within.</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Beauty and the Beast</h1>,,,"<span class=""release_year lighter"">1991</span>"
